algorithm,seed,episode,cumulative_steps,epsilon,return,episode_length,success,events,td_target_mean,td_target_variance,td_error_mean,td_error_variance,first_success_step
Expected SARSA,1,7,1400,0.7525,-677.0,200,0,53,-3.72879442838523,16.20865801345775,-3.3138126400311085,12.891065106255544,
Expected SARSA,1,8,1600,0.7112499999999999,-686.0,200,0,54,-3.9488804056949105,15.991484016708169,-3.42408485716575,12.49996305766069,
Expected SARSA,1,9,1800,0.67,-722.0,200,0,58,-3.7524588269565116,16.895637738683657,-3.5976884482057163,15.734704753673938,
Expected SARSA,1,10,2000,0.62875,-740.0,200,0,60,-3.8566670535888443,17.171934442112402,-3.6543414415090982,15.454099099164027,
Expected SARSA,1,11,2200,0.5874999999999999,-614.0,200,0,46,-3.3238926239551243,14.346278007553076,-3.066741296591851,12.756192536637291,
Expected SARSA,1,12,2400,0.54625,-695.0,200,0,55,-3.8409215557235346,16.280757985094727,-3.3514516147449895,12.386001293579517,
Expected SARSA,1,13,2600,0.505,-677.0,200,0,53,-3.857076612235368,15.542535061580006,-3.337794370823819,12.829349226743792,
Expected SARSA,1,14,2800,0.46375,-704.0,200,0,56,-3.6786706878261812,16.364188616772395,-3.4705074997640555,14.836772827892514,
Expected SARSA,1,15,3000,0.4225,-740.0,200,0,60,-3.788119019243231,17.119912900849844,-3.6558828966333192,16.098796120948048,
Expected SARSA,1,16,3200,0.38125,-758.0,200,0,62,-3.8839776086928945,17.557948201965353,-3.6805243307894204,15.647310190541065,
Expected SARSA,1,17,3394,0.3400000000000001,-713.0,194,1,60,-3.8484028584755867,20.023375221970905,-3.6025962166628345,18.622460806640095,3394.0
Expected SARSA,1,18,3594,0.29874999999999996,-785.0,200,0,65,-4.037398875330431,17.787098166210537,-3.8034408321507,15.87590080974943,3394.0
Expected SARSA,1,19,3794,0.25750000000000006,-362.0,200,0,18,-2.5177241364213274,6.724619124654373,-1.7927909610062358,3.94053725720039,3394.0
Expected SARSA,1,20,3994,0.21625000000000005,-299.0,200,0,11,-2.008079872515086,4.2890090998659085,-1.4858902083999421,2.551210382875694,3394.0
Expected SARSA,1,21,4149,0.17499999999999993,-431.0,155,1,33,-2.887735122354495,17.027530504387002,-2.6948163215740544,15.228692364756501,3394.0
Expected SARSA,1,22,4349,0.13375000000000004,-362.0,200,0,18,-1.99955789625358,6.4850594493812155,-1.794832053316353,5.937271098332134,3394.0
Expected SARSA,1,23,4494,0.09250000000000003,-214.0,145,1,10,-1.72980570980598,8.531848578802744,-1.4343211196466965,6.5990572386488475,3394.0
Expected SARSA,1,24,4694,0.05125000000000002,-389.0,200,0,21,-2.1375669008300493,7.425399857675591,-1.9102200099384223,7.149229592272609,3394.0
Expected SARSA,1,25,4894,0.010000000000000009,-623.0,200,0,47,-3.1648973016927355,14.498384200420519,-3.0365257750371937,13.832296684788473,3394.0
Expected SARSA,1,26,5094,0.010000000000000009,-209.0,200,0,1,-1.6031950641594646,0.4199706990296181,-1.011932167420845,0.15142469981233023,3394.0
Expected SARSA,1,27,5294,0.010000000000000009,-452.0,200,0,28,-2.36978941055318,9.592963505600087,-2.202203484507188,9.231672726533414,3394.0
Expected SARSA,1,28,5494,0.010000000000000009,-506.0,200,0,34,-2.638707327984996,11.22552080431889,-2.4622006536289867,10.807998906483743,3394.0
Expected SARSA,1,29,5548,0.010000000000000009,-168.0,54,1,15,-3.146737762896567,26.66520762449776,-3.0284961686575707,25.875273011730993,3394.0
Expected SARSA,1,30,5748,0.010000000000000009,-533.0,200,0,37,-2.7529313091658345,12.047453946070053,-2.592941961261036,11.456884112607527,3394.0
