algorithm,seed,episode,cumulative_steps,eval_return,eval_return_std,eval_success_rate,eval_episode_length,setting
SARSA,4,1000,7632,1.0,0.0,1.0,6.0,deterministic
SARSA,4,1200,9096,1.0,0.0,1.0,6.0,deterministic
SARSA,4,1400,10567,1.0,0.0,1.0,6.0,deterministic
SARSA,4,1600,12151,1.0,0.0,1.0,6.0,deterministic
SARSA,4,1800,13544,1.0,0.0,1.0,6.0,deterministic
SARSA,4,2000,14965,1.0,0.0,1.0,6.0,deterministic
SARSA,4,2200,16414,1.0,0.0,1.0,6.0,deterministic
SARSA,4,2400,17873,1.0,0.0,1.0,6.0,deterministic
SARSA,4,2600,19237,1.0,0.0,1.0,6.0,deterministic
SARSA,4,2800,20585,1.0,0.0,1.0,6.0,deterministic
SARSA,4,3000,21889,1.0,0.0,1.0,6.0,deterministic
SARSA,4,3200,23123,1.0,0.0,1.0,6.0,deterministic
SARSA,4,3400,24375,1.0,0.0,1.0,6.0,deterministic
SARSA,4,3600,25680,1.0,0.0,1.0,6.0,deterministic
SARSA,4,3800,26920,1.0,0.0,1.0,6.0,deterministic
SARSA,4,4000,28108,1.0,0.0,1.0,6.0,deterministic
SARSA,4,4200,29318,1.0,0.0,1.0,6.0,deterministic
SARSA,4,4400,30514,1.0,0.0,1.0,6.0,deterministic
SARSA,4,4600,31715,1.0,0.0,1.0,6.0,deterministic
SARSA,4,4800,32923,1.0,0.0,1.0,6.0,deterministic
SARSA,4,5000,34129,1.0,0.0,1.0,6.0,deterministic
SARSA,5,1,4,0.0,0.0,0.0,7.66,deterministic
SARSA,5,200,1581,0.04,0.19694638556693236,0.04,7.37,deterministic
SARSA,5,400,3123,1.0,0.0,1.0,6.0,deterministic
SARSA,5,600,4694,1.0,0.0,1.0,6.0,deterministic
SARSA,5,800,6259,1.0,0.0,1.0,6.0,deterministic
SARSA,5,1000,7751,1.0,0.0,1.0,6.0,deterministic
SARSA,5,1200,9214,1.0,0.0,1.0,6.0,deterministic
SARSA,5,1400,10668,1.0,0.0,1.0,6.0,deterministic
SARSA,5,1600,12178,1.0,0.0,1.0,6.0,deterministic
SARSA,5,1800,13702,0.0,0.0,0.0,100.0,deterministic
SARSA,5,2000,15149,1.0,0.0,1.0,6.0,deterministic
SARSA,5,2200,16620,1.0,0.0,1.0,6.0,deterministic
SARSA,5,2400,18046,1.0,0.0,1.0,6.0,deterministic
SARSA,5,2600,19446,1.0,0.0,1.0,6.0,deterministic
SARSA,5,2800,20833,1.0,0.0,1.0,6.0,deterministic
SARSA,5,3000,22140,0.0,0.0,0.0,100.0,deterministic
SARSA,5,3200,23437,1.0,0.0,1.0,6.0,deterministic
SARSA,5,3400,24743,1.0,0.0,1.0,6.0,deterministic
SARSA,5,3600,26006,1.0,0.0,1.0,6.0,deterministic
SARSA,5,3800,27221,1.0,0.0,1.0,6.0,deterministic
SARSA,5,4000,28444,1.0,0.0,1.0,6.0,deterministic
SARSA,5,4200,29653,1.0,0.0,1.0,6.0,deterministic
SARSA,5,4400,30860,1.0,0.0,1.0,6.0,deterministic
SARSA,5,4600,32061,1.0,0.0,1.0,6.0,deterministic
SARSA,5,4800,33261,1.0,0.0,1.0,6.0,deterministic
SARSA,5,5000,34470,1.0,0.0,1.0,6.0,deterministic
SARSA,6,1,2,0.0,0.0,0.0,8.47,deterministic
SARSA,6,200,1666,1.0,0.0,1.0,6.0,deterministic
SARSA,6,400,3213,1.0,0.0,1.0,6.0,deterministic
SARSA,6,600,4708,1.0,0.0,1.0,6.0,deterministic
SARSA,6,800,6158,1.0,0.0,1.0,6.0,deterministic
SARSA,6,1000,7667,1.0,0.0,1.0,6.0,deterministic
SARSA,6,1200,9161,1.0,0.0,1.0,6.0,deterministic
SARSA,6,1400,10669,1.0,0.0,1.0,6.0,deterministic
SARSA,6,1600,12123,1.0,0.0,1.0,6.0,deterministic
SARSA,6,1800,13513,1.0,0.0,1.0,6.0,deterministic
SARSA,6,2000,14916,1.0,0.0,1.0,6.0,deterministic
SARSA,6,2200,16308,1.0,0.0,1.0,6.0,deterministic
SARSA,6,2400,17835,1.0,0.0,1.0,6.0,deterministic
SARSA,6,2600,19257,1.0,0.0,1.0,6.0,deterministic
SARSA,6,2800,20535,1.0,0.0,1.0,6.0,deterministic
SARSA,6,3000,21846,1.0,0.0,1.0,6.0,deterministic
SARSA,6,3200,23152,1.0,0.0,1.0,6.0,deterministic
SARSA,6,3400,24422,1.0,0.0,1.0,6.0,deterministic
SARSA,6,3600,25653,1.0,0.0,1.0,6.0,deterministic
SARSA,6,3800,26907,1.0,0.0,1.0,6.0,deterministic
SARSA,6,4000,28112,1.0,0.0,1.0,6.0,deterministic
SARSA,6,4200,29318,1.0,0.0,1.0,6.0,deterministic
SARSA,6,4400,30533,1.0,0.0,1.0,6.0,deterministic
SARSA,6,4600,31737,1.0,0.0,1.0,6.0,deterministic
SARSA,6,4800,32952,1.0,0.0,1.0,6.0,deterministic
SARSA,6,5000,34160,1.0,0.0,1.0,6.0,deterministic
SARSA,7,1,12,0.01,0.09999999999999999,0.01,7.08,deterministic
SARSA,7,200,1619,0.47,0.5016135580465918,0.47,7.12,deterministic
SARSA,7,400,3174,1.0,0.0,1.0,6.0,deterministic
SARSA,7,600,4633,1.0,0.0,1.0,6.0,deterministic
SARSA,7,800,6244,0.0,0.0,0.0,100.0,deterministic
SARSA,7,1000,7651,1.0,0.0,1.0,6.0,deterministic
SARSA,7,1200,9276,1.0,0.0,1.0,6.0,deterministic
SARSA,7,1400,10848,1.0,0.0,1.0,6.0,deterministic
SARSA,7,1600,12382,1.0,0.0,1.0,6.0,deterministic
SARSA,7,1800,13771,1.0,0.0,1.0,6.0,deterministic
SARSA,7,2000,15141,1.0,0.0,1.0,6.0,deterministic
SARSA,7,2200,16532,1.0,0.0,1.0,6.0,deterministic
SARSA,7,2400,17901,1.0,0.0,1.0,6.0,deterministic
SARSA,7,2600,19212,0.0,0.0,0.0,100.0,deterministic
SARSA,7,2800,20527,1.0,0.0,1.0,6.0,deterministic
SARSA,7,3000,21867,1.0,0.0,1.0,6.0,deterministic
SARSA,7,3200,23105,1.0,0.0,1.0,6.0,deterministic
SARSA,7,3400,24404,1.0,0.0,1.0,6.0,deterministic
SARSA,7,3600,25680,1.0,0.0,1.0,6.0,deterministic
SARSA,7,3800,26956,1.0,0.0,1.0,6.0,deterministic
SARSA,7,4000,28184,1.0,0.0,1.0,6.0,deterministic
SARSA,7,4200,29389,1.0,0.0,1.0,6.0,deterministic
SARSA,7,4400,30596,1.0,0.0,1.0,6.0,deterministic
SARSA,7,4600,31808,1.0,0.0,1.0,6.0,deterministic
SARSA,7,4800,33017,1.0,0.0,1.0,6.0,deterministic
SARSA,7,5000,34220,1.0,0.0,1.0,6.0,deterministic
SARSA,8,1,8,0.02,0.14070529413628968,0.02,7.66,deterministic
SARSA,8,200,1303,1.0,0.0,1.0,6.0,deterministic
SARSA,8,400,2794,1.0,0.0,1.0,6.0,deterministic
SARSA,8,600,4484,1.0,0.0,1.0,6.0,deterministic
SARSA,8,800,5967,1.0,0.0,1.0,6.0,deterministic
SARSA,8,1000,7598,1.0,0.0,1.0,6.0,deterministic
SARSA,8,1200,9286,1.0,0.0,1.0,6.0,deterministic
SARSA,8,1400,10824,1.0,0.0,1.0,6.0,deterministic
SARSA,8,1600,12370,1.0,0.0,1.0,6.0,deterministic
SARSA,8,1800,13905,1.0,0.0,1.0,6.0,deterministic
SARSA,8,2000,15251,1.0,0.0,1.0,6.0,deterministic
SARSA,8,2200,16682,1.0,0.0,1.0,6.0,deterministic
SARSA,8,2400,18099,1.0,0.0,1.0,6.0,deterministic
SARSA,8,2600,19415,1.0,0.0,1.0,6.0,deterministic
SARSA,8,2800,20812,1.0,0.0,1.0,6.0,deterministic
